input_text,output_line1,output_line2
SYNGAS TO FLARE HEADER,SYNGAS->NH3,FLARE
SAMPLE VENT POINT TO FLARE HEADER,VENT->FLARE,HEADER
BOILER FEED WATER FROM 141-D,BFW FROM,1-141-D
MP STEAM FROM 1-141-D,MP STEAM FRM,1-141-D
SAFETY SHOWER AT AMMONIA PROCESS AREA,1-118-J/JA,CONDENSETE
SYNTHESIS GAS  FROM 1-150-D,SYNGAS->NH3,FLARE
SYNTHESIS GAS FROM 1-150-D,VENT->FLARE,HEADER
1-103-J 3RD STAGE DISCH. TO 1-121-CA/CB,SYN GAS->,1-121-C NH3
1-121-CA/CB SYN. GAS EFFLUENT TO 1-124-C,SYN GAS->,1-121-CAB
1-102-B START-UP HEATER,1-102-B,STARTUP HTR
1-141-D STEAM DRUM BLOWDOWN,BFW FROM,1-141-D
1-141-D MP STEAM OUTLET,MP STEAM FRM,1-141-D
CONDENSATE FROM 1-118-J/JA,1-118-J/JA,CONDENSETE
SYN GAS TO 1-121-C NH3 EFF EXCHANGER,SYN GAS->,1-121-C NH3
H2/N2 INDICATION,SYN GAS->,1-121-C NH3
BEACON SIGNAL IN AMMONIA COMPR. HOUSE,BLC IN NH3,COMPR HOUSE
SOUNDER SIGNAL IN AMMONIA COMPR. HOUSE,BLC IN NH3,COMPR HOUSE
BEACON SIGNAL IN AMMONIA REMOVAL UNIT,BLC IN NH3,REMOVAL UNIT
SOUNDER SIGNAL IN AMMONIA REMOVAL UNIT,BLC IN NH3,REMOVAL UNIT
BEACON SIGNAL IN AMMONIA SYNTH. LOOP&REFRIG.,BLC IN NH3,LOOP&REFR
SOUNDER SIGNAL IN AMMONIA SYNTH. LOOP&REFRIG.,BLC IN NH3,LOOP&REFR
START-UP HEATER 1-102-B PILOT BURNER 1,1-102-B,PILOT 1
START-UP HEATER 1-102-B PILOT BURNER 2,1-102-B,PILOT 2
START-UP HEATER 1-102-B PILOT BURNER 3,1-102-B,PILOT 3
START-UP HEATER 1-102-B PILOT BURNER 4,1-102-B,PILOT 4
START-UP HEATER 1-102-B PILOT BURNER 5,1-102-B,PILOT 5
START-UP HEATER 1-102-B PILOT BURNER 6,1-102-B,PILOT 6
START-UP HEATER 1-102-B PILOT BURNER 7,1-102-B,PILOT 7
START-UP HEATER 1-102-B PILOT BURNER 8,1-102-B,PILOT 8
START-UP HEATER 1-102-B PILOT BURNER 9,1-102-B,PILOT 9
START-UP HEATER 1-102-B PILOT BURNER 10,1-102-B,PILOT 10
START-UP HEATER 1-102-B MAIN BURNER 1,1-102-B MAIN,BRN 1
START-UP HEATER 1-102-B MAIN BURNER 2,1-102-B MAIN,BRN 2
START-UP HEATER 1-102-B MAIN BURNER 3,1-102-B MAIN,BRN 3
START-UP HEATER 1-102-B MAIN BURNER 4,1-102-B MAIN,BRN 4
START-UP HEATER 1-102-B MAIN BURNER 5,1-102-B MAIN,BRN 5
START-UP HEATER 1-102-B MAIN BURNER 6,1-102-B MAIN,BRN 6
START-UP HEATER 1-102-B MAIN BURNER 7,1-102-B MAIN,BRN 7
START-UP HEATER 1-102-B MAIN BURNER 8,1-102-B MAIN,BRN 8
START-UP HEATER 1-102-B MAIN BURNER 9,1-102-B MAIN,BRN 9
START-UP HEATER 1-102-B MAIN BURNER 10,1-102-B MAIN,BRN 10
GAS AMMONIA FROM 1-149-D,GAS NH3 FROM,1-149-D
